Country,Year,NumDisaster,NumKilled,NumInjured,NumAffected,NumHomeless,TotalDamUSD,Continent
Afghanistan,2000,6,594,0,2582228,0,50,Asia
Afghanistan,2001,6,485,20,204425,250,10,Asia
Afghanistan,2002,16,4083,1391,302279,10000,0,Asia
Afghanistan,2003,9,137,4,500,4250,0,Asia
Afghanistan,2004,3,18,40,2800,2700,0,Asia
Afghanistan,2005,14,582,44,37901,6775,5050,Asia
Afghanistan,2006,13,382,185,2225515,8210,0,Asia
Afghanistan,2007,7,296,20,26755,3480,0,Asia
Afghanistan,2008,4,1334,182,452602,180,0,Asia
Afghanistan,2009,5,101,86,62521,3250,20000,Asia
Afghanistan,2010,5,350,200,45000,1000,0,Asia
Afghanistan,2011,4,83,115,1753000,9700,142000,Asia
Afghanistan,2012,11,378,427,48394,2680,0,Asia
Afghanistan,2013,3,48,141,14500,0,0,Asia
Albania,2002,3,7,0,192110,0,17500,Europe
Albania,2004,2,3,0,2500,0,173,Europe
Albania,2005,2,5,0,400500,0,0,Europe
Albania,2007,2,0,0,150,75,0,Europe
Albania,2009,2,0,0,6600,150,0,Europe
Albania,2010,1,0,0,14000,0,0,Europe
Albania,2012,1,5,0,230000,0,0,Europe
Algeria,2000,5,48,15,100,100,0,Africa
Algeria,2001,1,921,423,45000,0,300000,Africa
Algeria,2002,3,48,20,2285,0,1500,Africa
Algeria,2003,7,2369,10511,0,200000,5000000,Africa
Algeria,2004,4,22,335,27545,0,0,Africa
Algeria,2005,4,34,5,70,1750,7256,Africa
Algeria,2006,2,5,9,60160,150,1200,Africa
Algeria,2007,7,90,5,1300,0,43061,Africa
Algeria,2008,1,93,50,59000,0,348000,Africa
Algeria,2009,2,48,48,0,2500,0,Africa
Algeria,2010,1,2,43,0,0,0,Africa
Algeria,2011,1,10,43,750,0,779000,Africa
Algeria,2012,2,69,101,0,0,0,Africa
American Samoa,2003,1,6,3,0,0,50000,Oceania
American Samoa,2004,1,0,60,20000,3000,150000,Oceania
American Samoa,2005,1,0,0,0,0,0,Oceania
